d_idx,v_idx,reward,eta_min,dist_km,speed_kmh,wfactor,capacity,dsize,availability
0,16,-41.20117107391357,51.55146408081055,17.183820724487305,20.0,1.0,5000.0,149.0,1
1,16,-41.20117107391357,51.55146408081055,17.183820724487305,20.0,1.0,5000.0,90.0,1
2,16,-41.20117107391357,51.55146408081055,17.183820724487305,20.0,1.0,5000.0,146.0,1
3,16,-41.20117107391357,51.55146408081055,17.183820724487305,20.0,1.0,5000.0,79.0,1
4,16,-41.20117107391357,51.55146408081055,17.183820724487305,20.0,1.0,5000.0,125.0,1
5,16,-41.20117107391357,51.55146408081055,17.183820724487305,20.0,1.0,5000.0,57.0,1
6,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,155.0,1
7,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,78.0,1
8,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,110.0,1
9,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,78.0,1
10,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,154.0,1
11,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,99.0,1
12,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,154.0,1
13,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,152.0,1
14,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,153.0,1
15,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,159.0,1
16,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,116.0,1
17,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,84.0,1
18,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,82.0,1
19,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,199.0,1
20,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,153.0,1
21,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,153.0,1
22,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,81.0,1
23,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,66.0,1
24,11,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,500.0,184.0,1
25,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,90.0,1
26,11,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,500.0,197.0,1
27,11,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,500.0,180.0,1
28,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,164.0,1
29,4,-14.571561756134033,17.21360206604004,8.60680103302002,30.0,1.0,1000.0,56.0,1
30,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,165.0,1
31,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,136.0,1
32,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,112.0,1
33,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,77.0,1
34,11,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,500.0,173.0,1
35,11,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,500.0,174.0,1
36,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,165.0,1
37,11,-11.588652725219726,12.965169906616211,8.64344596862793,40.0,1.0,500.0,169.0,1
38,11,-11.588652725219726,12.965169906616211,8.64344596862793,40.0,1.0,500.0,166.0,1
39,1,-7.3168105792999265,8.21867847442627,5.479118824005127,40.0,1.0,500.0,85.0,1
40,11,-11.588652725219726,12.965169906616211,8.64344596862793,40.0,1.0,500.0,165.0,1
41,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,99.0,1
42,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,120.0,1
43,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,71.0,1
44,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,137.0,1
45,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,65.0,1
46,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,88.0,1
47,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,114.0,1
48,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,75.0,1
49,3,-12.787041193008422,15.840791702270508,5.808290004730225,22.0,1.0,1000.0,108.0,1
50,16,-24.23527736282349,29.08895492553711,13.0900297164917,27.0,1.0,5000.0,106.0,1
51,16,-24.23527736282349,29.08895492553711,13.0900297164917,27.0,1.0,5000.0,65.0,1
52,16,-24.23527736282349,29.08895492553711,13.0900297164917,27.0,1.0,5000.0,63.0,1
53,16,-24.23527736282349,29.08895492553711,13.0900297164917,27.0,1.0,5000.0,119.0,1
54,16,-24.23527736282349,29.08895492553711,13.0900297164917,27.0,1.0,5000.0,57.0,1
55,16,-24.23527736282349,29.08895492553711,13.0900297164917,27.0,1.0,5000.0,70.0,1
56,16,-24.23527736282349,29.08895492553711,13.0900297164917,27.0,1.0,5000.0,78.0,1
57,16,-24.23527736282349,29.08895492553711,13.0900297164917,27.0,1.0,5000.0,73.0,1
58,16,-41.20117107391357,51.55146408081055,17.183820724487305,20.0,1.0,5000.0,139.0,1
59,16,-41.20117107391357,51.55146408081055,17.183820724487305,20.0,1.0,5000.0,101.0,1
60,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,81.0,1
61,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,129.0,1
62,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,187.0,1
63,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,131.0,1
64,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,106.0,1
65,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,64.0,1
66,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,92.0,1
67,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,196.0,1
68,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,148.0,1
69,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,101.0,1
70,1,0.07543376609298867,0.0006362178828567266,0.0004029379633720964,38.0,1.0,500.0,136.0,1
71,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,195.0,1
72,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,173.0,1
73,11,-19.73756792449951,22.262435913085938,14.099542617797852,38.0,1.0,500.0,173.0,1
74,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,126.0,1
75,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,72.0,1
76,11,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,500.0,179.0,1
77,11,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,500.0,171.0,1
78,11,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,500.0,177.0,1
79,3,-1.400707890987396,1.718479871749878,0.859239935874939,30.0,1.0,1000.0,116.0,1
