time,zone,lat,lon,demand_size_kg
2025-08-28 00:41:00,Yeshwanthpur,13.0186,77.556,149
2025-08-28 00:18:00,Yeshwanthpur,13.0186,77.556,90
2025-08-28 00:35:00,Yeshwanthpur,13.0186,77.556,146
2025-08-28 00:36:00,Yeshwanthpur,13.0186,77.556,79
2025-08-28 00:48:00,Yeshwanthpur,13.0186,77.556,125
2025-08-28 00:09:00,Yeshwanthpur,13.0186,77.556,57
2025-08-28 00:20:00,Whitefield,12.9698,77.7499,155
2025-08-28 00:25:00,Whitefield,12.9698,77.7499,78
2025-08-28 00:48:00,Whitefield,12.9698,77.7499,110
2025-08-28 00:50:00,Whitefield,12.9698,77.7499,78
2025-08-28 00:31:00,Whitefield,12.9698,77.7499,154
2025-08-28 00:03:00,Whitefield,12.9698,77.7499,99
2025-08-28 00:38:00,Whitefield,12.9698,77.7499,154
2025-08-28 00:25:00,Whitefield,12.9698,77.7499,152
2025-08-28 00:15:00,Whitefield,12.9698,77.7499,153
2025-08-28 00:09:00,Whitefield,12.9698,77.7499,159
2025-08-28 00:03:00,Whitefield,12.9698,77.7499,116
2025-08-28 00:27:00,Whitefield,12.9698,77.7499,84
2025-08-28 00:13:00,Whitefield,12.9698,77.7499,82
2025-08-28 00:24:00,Whitefield,12.9698,77.7499,199
2025-08-28 00:17:00,Whitefield,12.9698,77.7499,153
2025-08-28 00:13:00,Koramangala,12.9352,77.6245,153
2025-08-28 00:26:00,Koramangala,12.9352,77.6245,81
2025-08-28 00:35:00,Koramangala,12.9352,77.6245,66
2025-08-28 00:18:00,Koramangala,12.9352,77.6245,184
2025-08-28 00:31:00,Koramangala,12.9352,77.6245,90
2025-08-28 00:25:00,Koramangala,12.9352,77.6245,197
2025-08-28 00:33:00,Koramangala,12.9352,77.6245,180
2025-08-28 00:13:00,Koramangala,12.9352,77.6245,164
2025-08-28 00:01:00,Koramangala,12.9352,77.6245,56
2025-08-28 00:41:00,Koramangala,12.9352,77.6245,165
2025-08-28 00:02:00,Koramangala,12.9352,77.6245,136
2025-08-28 00:41:00,Koramangala,12.9352,77.6245,112
2025-08-28 00:32:00,Koramangala,12.9352,77.6245,77
2025-08-28 00:49:00,Koramangala,12.9352,77.6245,173
2025-08-28 00:17:00,Koramangala,12.9352,77.6245,174
2025-08-28 00:17:00,Koramangala,12.9352,77.6245,165
2025-08-28 00:13:00,Marathahalli,12.9569,77.7011,169
2025-08-28 00:52:00,Marathahalli,12.9569,77.7011,166
2025-08-28 00:43:00,Marathahalli,12.9569,77.7011,85
2025-08-28 00:24:00,Marathahalli,12.9569,77.7011,165
2025-08-28 00:40:00,Indiranagar,12.9784,77.6408,99
2025-08-28 00:57:00,Indiranagar,12.9784,77.6408,120
2025-08-28 00:37:00,Indiranagar,12.9784,77.6408,71
2025-08-28 00:20:00,Indiranagar,12.9784,77.6408,137
2025-08-28 00:33:00,Indiranagar,12.9784,77.6408,65
2025-08-28 00:35:00,Indiranagar,12.9784,77.6408,88
2025-08-28 00:35:00,Indiranagar,12.9784,77.6408,114
2025-08-28 00:08:00,Indiranagar,12.9784,77.6408,75
2025-08-28 00:01:00,Indiranagar,12.9784,77.6408,108
2025-08-28 00:52:00,Electronic City,12.8452,77.6602,106
2025-08-28 00:39:00,Electronic City,12.8452,77.6602,65
2025-08-28 00:25:00,Electronic City,12.8452,77.6602,63
2025-08-28 00:26:00,Electronic City,12.8452,77.6602,119
2025-08-28 00:19:00,Electronic City,12.8452,77.6602,57
2025-08-28 00:51:00,Electronic City,12.8452,77.6602,70
2025-08-28 00:04:00,Electronic City,12.8452,77.6602,78
2025-08-28 00:03:00,Electronic City,12.8452,77.6602,73
2025-08-28 01:09:00,Yeshwanthpur,13.0186,77.556,139
2025-08-28 01:15:00,Yeshwanthpur,13.0186,77.556,101
2025-08-28 01:09:00,Whitefield,12.9698,77.7499,81
2025-08-28 01:40:00,Whitefield,12.9698,77.7499,129
2025-08-28 01:51:00,Whitefield,12.9698,77.7499,187
